Date,Open,High,Low,Close,Volume,Adj Close
2013-04-19,387.97,399.60,385.10,390.53,21749700,390.53
2013-04-18,404.99,405.79,389.74,392.05,23783300,392.05
2013-04-17,420.27,420.60,398.11,402.80,33735300,402.80
2013-04-16,421.57,426.61,420.57,426.24,10890600,426.24
2013-04-15,427.00,427.89,419.55,419.85,11318300,419.85
2013-04-12,434.15,434.15,429.09,429.80,8521900,429.80
2013-04-11,433.72,437.99,431.20,434.33,11727300,434.33
2013-04-10,428.10,437.06,426.01,435.69,13415800,435.69
2013-04-09,426.36,428.50,422.75,426.98,10950500,426.98
2013-04-08,424.85,427.50,422.49,426.21,10743900,426.21
2013-04-05,424.50,424.95,419.68,423.20,13677700,423.20
2013-04-04,433.76,435.00,425.25,427.72,12801700,427.72
2013-04-03,431.37,437.28,430.31,431.99,12961200,431.99
2013-04-02,427.60,438.14,426.40,429.79,18911400,429.79
2013-04-01,441.90,443.70,427.74,428.91,13903100,428.91
2013-03-28,449.82,451.82,441.62,442.66,15815700,442.66
2013-03-27,456.46,456.80,450.73,452.08,11829900,452.08
2013-03-26,465.44,465.84,460.53,461.14,10494300,461.14
2013-03-25,464.69,469.95,461.78,463.58,17871000,463.58
2013-03-22,454.58,462.10,453.11,461.91,14087700,461.91
2013-03-21,450.22,457.98,450.10,452.73,13645000,452.73
2013-03-20,457.42,457.63,449.59,452.08,11007900,452.08
2013-03-19,459.50,460.97,448.50,454.49,18813400,454.49
2013-03-18,441.45,457.46,441.20,455.72,21649900,455.72
2013-03-15,437.93,444.23,437.25,443.66,22998600,443.66
2013-03-14,432.83,434.64,430.45,432.50,10852700,432.50
2013-03-13,428.45,434.50,425.36,428.35,14483900,428.35
2013-03-12,435.60,438.88,427.57,428.43,16639700,428.43
2013-03-11,429.75,439.01,425.14,437.87,16937000,437.87
2013-03-08,429.80,435.43,428.61,431.72,13981500,431.72
2013-03-07,424.50,432.01,421.06,430.58,16731200,430.58
2013-03-06,434.51,435.25,424.43,425.66,16437500,425.66
2013-03-05,421.48,435.19,420.75,431.14,22801200,431.14
2013-03-04,427.80,428.20,419.00,420.05,20812700,420.05
2013-03-01,438.00,438.18,429.98,430.47,19730300,430.47
2013-02-28,444.05,447.87,441.40,441.40,11518400,441.40
2013-02-27,448.43,452.44,440.65,444.57,20976800,444.57
2013-02-26,443.82,451.54,437.66,448.97,17910700,448.97
2013-02-25,453.85,455.12,442.57,442.80,13306400,442.80
2013-02-22,449.25,451.60,446.60,450.81,11809100,450.81
2013-02-21,446.00,449.17,442.82,446.06,15970800,446.06
2013-02-20,457.69,457.69,448.80,448.85,17010800,448.85
2013-02-19,461.10,462.73,453.85,459.99,15563700,459.99
2013-02-15,468.85,470.16,459.92,460.16,13990900,460.16
2013-02-14,464.52,471.64,464.02,466.59,12688400,466.59
2013-02-13,467.21,473.64,463.22,467.01,16971700,467.01
