Date,Open,High,Low,Close,Volume,Adj Close
2013-03-01,263.27,266.60,261.04,265.74,2957000,265.74
2013-02-28,261.81,267.00,260.63,264.27,2667200,264.27
2013-02-27,259.40,265.83,256.86,263.25,2908100,263.25
2013-02-26,260.89,262.04,255.73,259.36,3348600,259.36
2013-02-25,266.94,268.69,259.65,259.87,3032400,259.87
2013-02-22,266.62,267.11,261.61,265.42,3124800,265.42
2013-02-21,265.12,269.48,263.25,265.94,3637400,265.94
2013-02-20,270.20,274.30,266.37,266.41,3528900,266.41
2013-02-19,265.91,270.11,264.50,269.75,2854200,269.75
2013-02-15,267.63,268.92,263.11,265.09,3979900,265.09
2013-02-14,267.37,270.65,265.40,269.24,3463000,269.24
2013-02-13,261.53,269.96,260.30,269.47,5293000,269.47
2013-02-12,259.19,260.16,257.00,258.70,2943700,258.70
2013-02-11,263.20,263.25,256.60,257.21,3403700,257.21
2013-02-08,261.40,265.25,260.55,261.95,3879200,261.95
2013-02-07,264.10,264.10,255.11,260.23,3975700,260.23
2013-02-06,265.16,266.89,261.11,262.22,2770400,262.22
2013-02-05,262.00,268.03,261.46,266.89,4012900,266.89
2013-02-04,262.78,264.68,259.07,259.98,3723600,259.98
2013-02-01,268.93,268.93,262.80,265.00,6115000,265.00
2013-01-31,271.04,275.94,263.70,265.50,6772100,265.50
2013-01-30,283.00,284.20,267.11,272.76,13075400,272.76
2013-01-29,275.35,275.46,258.35,260.35,10087200,260.35
2013-01-28,283.78,284.48,274.40,276.04,4321400,276.04
2013-01-25,275.00,284.72,274.40,283.99,4968100,283.99
2013-01-24,269.37,276.65,269.37,273.46,3330200,273.46
2013-01-23,270.57,271.09,266.65,268.11,2508900,268.11
2013-01-22,271.62,272.10,269.23,270.19,2137700,270.19
2013-01-18,270.83,274.50,269.60,272.12,2942000,272.12
2013-01-17,271.50,271.97,269.21,270.48,1884600,270.48
2013-01-16,270.53,271.24,267.83,268.93,2065600,268.93
2013-01-15,270.68,272.73,269.30,271.90,2326900,271.90
2013-01-14,268.00,274.26,267.54,272.73,4263200,272.73
2013-01-11,265.10,268.43,264.11,267.94,2413300,267.94
2013-01-10,268.54,268.74,262.30,265.34,2863400,265.34
2013-01-09,268.17,269.50,265.40,266.35,2265600,266.35
2013-01-08,267.07,268.98,263.57,266.38,3010700,266.38
2013-01-07,262.97,269.73,262.67,268.46,4910000,268.46
2013-01-04,257.58,259.80,256.65,259.15,1874200,259.15
2013-01-03,257.27,260.88,256.37,258.48,2750900,258.48
2013-01-02,256.08,258.10,253.26,257.31,3271000,257.31
