Date,Open,High,Low,Close,Volume,Adj Close
2013-03-01,438.00,438.18,429.98,430.47,19701000,430.47
2013-02-28,444.05,447.87,441.40,441.40,11518400,441.40
2013-02-27,448.43,452.44,440.65,444.57,20976800,444.57
2013-02-26,443.82,451.54,437.66,448.97,17910700,448.97
2013-02-25,453.85,455.12,442.57,442.80,13306400,442.80
2013-02-22,449.25,451.60,446.60,450.81,11809100,450.81
2013-02-21,446.00,449.17,442.82,446.06,15970800,446.06
2013-02-20,457.69,457.69,448.80,448.85,17010800,448.85
2013-02-19,461.10,462.73,453.85,459.99,15563700,459.99
2013-02-15,468.85,470.16,459.92,460.16,13990900,460.16
2013-02-14,464.52,471.64,464.02,466.59,12688400,466.59
2013-02-13,467.21,473.64,463.22,467.01,16971700,467.01
2013-02-12,479.51,482.38,467.74,467.90,21751900,467.90
2013-02-11,476.50,484.94,473.25,479.93,18481800,479.93
2013-02-08,474.00,478.81,468.25,474.98,22612800,474.98
2013-02-07,463.25,470.00,454.12,468.22,25163600,468.22
2013-02-06,456.47,466.50,452.58,457.35,21203800,454.70
2013-02-05,444.05,459.74,442.22,457.84,20476700,455.19
2013-02-04,453.91,455.94,442.00,442.32,17039900,439.76
2013-02-01,459.11,459.48,448.35,453.62,19267300,450.99
2013-01-31,456.98,459.28,454.98,455.49,11404800,452.85
2013-01-30,457.00,462.60,454.50,456.83,14898400,454.18
2013-01-29,458.50,460.20,452.12,458.27,20398500,455.61
2013-01-28,437.83,453.21,435.86,449.83,28054200,447.22
2013-01-25,451.69,456.23,435.00,439.88,43143800,437.33
2013-01-24,460.00,465.73,450.25,450.50,52173300,447.89
2013-01-23,508.81,514.99,504.77,514.01,30768200,511.03
2013-01-22,504.56,507.88,496.63,504.77,16483800,501.85
2013-01-18,498.52,502.22,496.40,500.00,16890100,497.10
2013-01-17,510.31,510.75,502.03,502.68,16202800,499.77
2013-01-16,494.64,509.44,492.50,506.09,24671600,503.16
2013-01-15,498.30,498.99,483.38,485.92,31313300,483.10
2013-01-14,502.68,507.50,498.51,501.75,26221700,498.84
2013-01-11,521.00,525.32,519.02,520.30,12518100,517.29
2013-01-10,528.55,528.72,515.52,523.51,21469500,520.48
2013-01-09,522.50,525.01,515.99,517.10,14557300,514.10
2013-01-08,529.21,531.89,521.25,525.31,16382400,522.27
2013-01-07,522.00,529.30,515.20,523.90,17291300,520.86
2013-01-04,536.97,538.63,525.83,527.00,21226200,523.95
2013-01-03,547.88,549.67,541.00,542.10,12605900,538.96
2013-01-02,553.82,555.00,541.63,549.03,20018500,545.85
