Date,Open,High,Low,Close,Volume,Adj Close
2013-03-01,797.80,807.14,796.15,806.19,2175400,806.19
2013-02-28,801.10,806.99,801.03,801.20,2265800,801.20
2013-02-27,794.80,804.75,791.11,799.78,2026100,799.78
2013-02-26,795.00,795.95,784.40,790.13,2202500,790.13
2013-02-25,802.30,808.41,790.49,790.77,2303900,790.77
2013-02-22,799.26,801.25,793.80,799.71,2053900,799.71
2013-02-21,798.00,805.45,791.22,795.53,3506400,795.53
2013-02-20,805.30,808.97,791.79,792.46,2764200,792.46
2013-02-19,795.99,807.00,795.28,806.85,2931800,806.85
2013-02-15,787.40,793.26,787.07,792.89,2729800,792.89
2013-02-14,779.73,788.74,777.77,787.82,1735300,787.82
2013-02-13,780.13,785.35,779.97,782.86,1198200,782.86
2013-02-12,781.75,787.90,779.37,780.70,1859000,780.70
2013-02-11,778.40,783.00,773.75,782.42,2167700,782.42
2013-02-08,780.13,786.67,779.56,785.37,3020100,785.37
2013-02-07,769.70,778.81,765.50,773.95,2840200,773.95
2013-02-06,759.07,772.96,758.50,770.17,2078100,770.17
2013-02-05,761.13,771.11,759.47,765.74,1870700,765.74
2013-02-04,767.69,770.47,758.27,759.02,3040500,759.02
2013-02-01,758.20,776.60,758.10,775.60,3746100,775.60
2013-01-31,750.51,757.62,750.25,755.69,1634200,755.69
2013-01-30,753.74,760.95,752.91,753.83,1733000,753.83
2013-01-29,746.75,756.95,746.54,753.68,1747100,753.68
2013-01-28,751.76,755.60,747.89,750.73,1627100,750.73
2013-01-25,750.77,758.48,750.25,753.67,2225900,753.67
2013-01-24,741.24,756.83,740.51,754.21,3382700,754.21
2013-01-23,735.99,749.00,735.79,741.50,5909100,741.50
2013-01-22,704.66,705.34,695.52,702.87,3779100,702.87
2013-01-18,710.36,712.77,701.33,704.51,3226800,704.51
2013-01-17,717.71,719.64,711.02,711.32,2211500,711.32
2013-01-16,722.40,724.34,713.67,715.19,2023400,715.19
2013-01-15,719.33,735.00,712.10,724.93,3927700,724.93
2013-01-14,737.00,742.20,722.35,723.25,2863900,723.25
2013-01-11,742.00,742.43,736.30,739.99,1285200,739.99
2013-01-10,742.83,745.00,733.50,741.48,1835700,741.48
2013-01-09,732.27,738.35,728.60,738.12,2024700,738.12
2013-01-08,735.54,736.30,724.43,733.30,1676100,733.30
2013-01-07,735.45,739.38,730.58,734.75,1655700,734.75
2013-01-04,729.34,741.47,727.68,737.97,2763500,737.97
2013-01-03,724.93,731.93,720.72,723.67,2318200,723.67
2013-01-02,719.42,727.00,716.55,723.25,2541300,723.25
